attacker_template,attacker_name,defender_template,defender_name,weight,source,rationale
ChinaVehicleInfernoCannon,Inferno Cannon,AmericaVehicleTomahawk,Tomahawk Launcher,4,GF-26006,Inferno must close into Tomahawk range disadvantage; lower damage
AmericaVehicleTomahawk,Tomahawk Launcher,GLAVehicleRocketBuggy,Rocket Buggy,7,GF-26006,Tomahawk 150dmg reliable vs Buggy 120HP = one-shot potential
GLAVehicleRocketBuggy,Rocket Buggy,AmericaVehicleTomahawk,Tomahawk Launcher,5,INI-DPS,Buggy 100DPS EXPLOSION vs 180HP Tomahawk = 1.8s; but Tomahawk outranges at 350
ChinaVehicleInfernoCannon,Inferno Cannon,GLAVehicleRocketBuggy,Rocket Buggy,5,GF-26006,Inferno EXPLOSION splash vs fragile Buggy; range similar
GLAVehicleRocketBuggy,Rocket Buggy,ChinaVehicleInfernoCannon,Inferno Cannon,6,INI-DPS,100DPS EXPLOSION vs 120HP Inferno = 1.2s kill; Buggy is faster and higher DPS

# --- Comanche specifics (COMANCHE_VULCAN + rockets) ---
AmericaVehicleComanche,Comanche,AmericaTankCrusader,Crusader Tank,7,INI-DPS,Comanche kites; COMANCHE_VULCAN 25% vs TankArmor + rockets. Tank cannot effectively retaliate
AmericaVehicleComanche,Comanche,ChinaTankBattleMaster,Battlemaster Tank,7,INI-DPS,Same air advantage; sustained kiting damage
AmericaVehicleComanche,Comanche,GLATankScorpion,Scorpion Tank,8,INI-DPS,Weaker Scorpion dies faster to air attack
AmericaVehicleComanche,Comanche,ChinaTankGattling,Gatling Tank,1,GF-26006,Gatling is primary Comanche counter; GATTLING 120% vs ComancheArmor
AmericaVehicleComanche,Comanche,GLAVehicleQuadCannon,Quad Cannon,1,GF-26006,Quad Cannon is primary AA; SMALL_ARMS 120% vs ComancheArmor
AmericaVehicleComanche,Comanche,ChinaVehicleHelix,Helix,4,GF-26006,Helix more durable and flexible; guide rates Helix above Comanche
ChinaVehicleHelix,Helix,AmericaVehicleComanche,Comanche,6,GF-26006,Helix stronger and more durable per guide comparison

# --- Raptor/MiG specifics ---
AmericaJetRaptor,Raptor,AmericaTankCrusader,Crusader Tank,7,INI-DPS,JET_MISSILES 100% vs TankArmor; burst damage over passes
AmericaJetRaptor,Raptor,ChinaTankBattleMaster,Battlemaster Tank,7,INI-DPS,Aircraft attack passes effective vs tanks
AmericaJetRaptor,Raptor,ChinaTankGattling,Gatling Tank,2,INI-DPS,JET_MISSILES 30% vs AntiAirVehicle; Gatling 120% back. AA counter
AmericaJetRaptor,Raptor,GLAVehicleQuadCannon,Quad Cannon,2,INI-DPS,JET_MISSILES 30% vs AntiAirVehicle; Quad 120% back
ChinaJetMIG,MiG,AmericaTankCrusader,Crusader Tank,7,INI-DPS,JET_MISSILES effective vs tanks
ChinaJetMIG,MiG,ChinaTankGattling,Gatling Tank,2,INI-DPS,AA counter; JET_MISSILES 30% reduction
ChinaJetMIG,MiG,GLAVehicleQuadCannon,Quad Cannon,2,INI-DPS,AA counter

# --- Stealth Fighter (STEALTHJET_MISSILES: 250% vs BaseDefenseArmor) ---
AmericaJetStealthFighter,Stealth Fighter,AmericaVehicleTomahawk,Tomahawk Launcher,8,INI-DPS,Burst damage on fragile target
AmericaJetStealthFighter,Stealth Fighter,ChinaVehicleInfernoCannon,Inferno Cannon,9,INI-DPS,120HP Inferno destroyed in one pass
AmericaJetStealthFighter,Stealth Fighter,ChinaTankGattling,Gatling Tank,1,INI-DPS,AA counter; stealth advantage lost once detected

# --- Toxin Tractor (POISON: 10dmg/40ms = 250 DPS) ---
# POISON 100% vs HumanArmor, 25% vs TankArmor, 0% vs ToxinTruckArmor
GLAVehicleToxinTruck,Toxin Tractor,AmericaInfantryRanger,Ranger,10,INI-DPS,POISON 100% vs HumanArmor = 250DPS; infantry dies in <1s to toxin spray
GLAVehicleToxinTruck,Toxin Tractor,ChinaInfantryRedguard,Redguard,10,INI-DPS,Same devastation to infantry
GLAVehicleToxinTruck,Toxin Tractor,GLAInfantryRebel,Rebel,10,INI-DPS,Same; toxin kills all infantry near instantly
GLAVehicleToxinTruck,Toxin Tractor,AmericaInfantryMissileDefender,Missile Defender,9,INI-DPS,250DPS vs 100HP; but ToxinTruckArmor takes 20% INFANTRY_MISSILE. MD does 8DPS
GLAVehicleToxinTruck,Toxin Tractor,AmericaTankCrusader,Crusader Tank,2,INI-DPS,POISON 25% vs TankArmor = 62.5DPS; Crusader AP kills truck faster
GLAVehicleToxinTruck,Toxin Tractor,ChinaTankOverlord,Overlord Tank,1,INI-DPS,62.5DPS vs 1100HP = 17.6s; Overlord destroys truck in seconds

# --- Terrorist specifics (EXPLOSION: 999999 dmg, range 1, suicide) ---
GLAInfantryTerrorist,Terrorist,AmericaVehicleHumvee,Humvee,9,CNCW-Terrorist,One-shot kill on contact with any vehicle
GLAInfantryTerrorist,Terrorist,AmericaTankCrusader,Crusader Tank,8,CNCW-Terrorist,One-shot; must reach melee range. Tank can crush first
GLAInfantryTerrorist,Terrorist,AmericaTankPaladin,Paladin Tank,7,CNCW-Terrorist,One-shot but Paladin has point defense laser that can intercept
GLAInfantryTerrorist,Terrorist,ChinaTankBattleMaster,Battlemaster Tank,8,CNCW-Terrorist,One-shot on contact
GLAInfantryTerrorist,Terrorist,ChinaTankDragon,Dragon Tank,4,INI-DPS,Dragon FLAME kills Terrorist at range before it can close
GLAInfantryTerrorist,Terrorist,ChinaTankGattling,Gatling Tank,5,INI-DPS,Gatling rapid fire may kill Terrorist first; volatile matchup
GLAInfantryTerrorist,Terrorist,ChinaVehicleInfernoCannon,Inferno Cannon,9,CNCW-Terrorist,Slow artillery is ideal Terrorist target
GLAInfantryTerrorist,Terrorist,ChinaVehicleNukeLauncher,Nuke Launcher,9,CNCW-Terrorist,Same
GLAInfantryTerrorist,Terrorist,ChinaTankOverlord,Overlord Tank,7,CNCW-Terrorist,2 Terrorists destroy Overlord; single does massive damage but may not kill
GLAInfantryTerrorist,Terrorist,GLATankMarauder,Marauder Tank,8,CNCW-Terrorist,One-shot on contact
GLAInfantryTerrorist,Terrorist,GLATankScorpion,Scorpion Tank,8,CNCW-Terrorist,One-shot on contact
GLAInfantryTerrorist,Terrorist,GLAVehicleQuadCannon,Quad Cannon,6,CNCW-Terrorist,Quad rapid fire may intercept; volatile
GLAInfantryTerrorist,Terrorist,GLAVehicleRocketBuggy,Rocket Buggy,9,CNCW-Terrorist,Fragile Buggy destroyed instantly
GLAInfantryTerrorist,Terrorist,GLAVehicleScudLauncher,Scud Launcher,9,CNCW-Terrorist,Slow artillery ideal target
GLAInfantryTerrorist,Terrorist,GLAVehicleTechnical,Technical,9,CNCW-Terrorist,Light vehicle one-shot
GLAInfantryTerrorist,Terrorist,AmericaVehicleTomahawk,Tomahawk Launcher,9,CNCW-Terrorist,Slow artillery ideal target
# Defenders vs Terrorist
AmericaVehicleHumvee,Humvee,GLAInfantryTerrorist,Terrorist,4,INI-cost,Humvee 40DPS kills individual Terrorist in 3s; but cost-matched group (3-4 Terrorists at $200) means multiple approach
AmericaTankCrusader,Crusader Tank,GLAInfantryTerrorist,Terrorist,3,INI-cost,AP 10% = 3DPS vs Terrorist barely scratches; crush works on 1 but cost-matched group (4 at $200 vs $900) sends several
ChinaTankGattling,Gatling Tank,GLAInfantryTerrorist,Terrorist,6,INI-cost,Rapid fire kills Terrorists fast but cost-matched group (4 at $200 vs $800) sends multiple; Gatling detects stealth
GLAVehicleQuadCannon,Quad Cannon,GLAInfantryTerrorist,Terrorist,5,INI-cost,100DPS kills individual fast but cost-matched Terrorists (3 at $200 vs $700) can overwhelm
ChinaTankDragon,Dragon Tank,GLAInfantryTerrorist,Terrorist,7,INI-cost,FLAME 375DPS sweeps approaching Terrorists; cost-matched group (4 at $200 vs $800) but flame area covers multiple

# --- Bomb Truck specifics ---
GLAVehicleBombTruck,Bomb Truck,AmericaTankCrusader,Crusader Tank,9,CNCW-Overlord,999999 EXPLOSION one-shot on contact
GLAVehicleBombTruck,Bomb Truck,AmericaTankPaladin,Paladin Tank,9,CNCW-Overlord,One-shot; Paladin laser may intercept but truck is a vehicle not projectile
GLAVehicleBombTruck,Bomb Truck,ChinaTankBattleMaster,Battlemaster Tank,9,CNCW-Overlord,One-shot
GLAVehicleBombTruck,Bomb Truck,ChinaTankDragon,Dragon Tank,8,INI-DPS,One-shot but Dragon can damage truck at range
GLAVehicleBombTruck,Bomb Truck,ChinaTankGattling,Gatling Tank,8,INI-DPS,One-shot; Gatling does GATTLING 50% to TruckArmor
GLAVehicleBombTruck,Bomb Truck,AmericaVehicleTomahawk,Tomahawk Launcher,10,CNCW-Overlord,Slow artillery one-shot
GLAVehicleBombTruck,Bomb Truck,ChinaVehicleInfernoCannon,Inferno Cannon,10,CNCW-Overlord,Slow artillery one-shot
GLAVehicleBombTruck,Bomb Truck,ChinaVehicleNukeLauncher,Nuke Launcher,10,CNCW-Overlord,Slow artillery one-shot
GLAVehicleBombTruck,Bomb Truck,GLATankMarauder,Marauder Tank,9,CNCW-Overlord,One-shot
GLAVehicleBombTruck,Bomb Truck,GLATankScorpion,Scorpion Tank,9,CNCW-Overlord,One-shot
GLAVehicleBombTruck,Bomb Truck,GLAVehicleRocketBuggy,Rocket Buggy,10,CNCW-Overlord,One-shot fragile artillery
GLAVehicleBombTruck,Bomb Truck,GLAVehicleScudLauncher,Scud Launcher,10,CNCW-Overlord,One-shot slow artillery
GLAVehicleBombTruck,Bomb Truck,GLAVehicleTechnical,Technical,9,CNCW-Overlord,One-shot
GLAVehicleBombTruck,Bomb Truck,AmericaVehicleHumvee,Humvee,9,CNCW-Overlord,One-shot
GLAVehicleBombTruck,Bomb Truck,GLAVehicleQuadCannon,Quad Cannon,8,CNCW-Overlord,One-shot; Quad rapid fire may damage truck first
# Defenders vs Bomb Truck
AmericaTankCrusader,Crusader Tank,GLAVehicleBombTruck,Bomb Truck,2,CNCW-Overlord,30DPS AP vs 250HP TruckArmor = 8.3s; truck explosion lethal if it reaches
AmericaTankPaladin,Paladin Tank,GLAVehicleBombTruck,Bomb Truck,2,CNCW-Overlord,Same; point defense laser irrelevant vs vehicles
ChinaTankBattleMaster,Battlemaster Tank,GLAVehicleBombTruck,Bomb Truck,2,CNCW-Overlord,Same explosion lethality
ChinaTankGattling,Gatling Tank,GLAVehicleBombTruck,Bomb Truck,4,INI-DPS,GATTLING 50% vs TruckArmor = 25DPS; kills truck in 10s. Enough time if spotted early
GLAVehicleQuadCannon,Quad Cannon,GLAVehicleBombTruck,Bomb Truck,3,INI-DPS,SMALL_ARMS 50% vs TruckArmor = 50DPS vs 250HP = 5s; possible if spotted
AmericaVehicleTomahawk,Tomahawk Launcher,GLAVehicleBombTruck,Bomb Truck,1,CNCW-Overlord,Slow fire rate and truck closes fast
ChinaVehicleInfernoCannon,Inferno Cannon,GLAVehicleBombTruck,Bomb Truck,1,CNCW-Overlord,Slow artillery cannot stop truck approach
GLAVehicleRocketBuggy,Rocket Buggy,GLAVehicleBombTruck,Bomb Truck,2,INI-DPS,Buggy 100DPS vs 250HP = 2.5s; but Buggy fragile and truck fast

# --- Angry Mob (MOLOTOV_COCKTAIL: 10dmg/250ms per mobster, 10 mobsters) ---
GLAInfantryAngryMob,Angry Mob,AmericaInfantryRanger,Ranger,8,GF-26006,Guide rates Angry Mob highest threat (10/10); mob overwhelms infantry
GLAInfantryAngryMob,Angry Mob,AmericaTankCrusader,Crusader Tank,7,GF-26006,Mob MOLOTOV_COCKTAIL does 20% to DragonTankArmor type; mob overwhelms in numbers
GLAInfantryAngryMob,Angry Mob,ChinaTankOverlord,Overlord Tank,5,INI-DPS,Large mob can threaten even Overlord; but Overlord splash clears mob

# --- Toxin Rebel variants ---
Toxin_GLAInfantryRebel,Rebel (Toxin),AmericaInfantryRanger,Ranger,9,USER-REQ,Toxin rebels dominate most infantry engagements
Chem_GLAInfantryRebel,Rebel (Chem),AmericaInfantryRanger,Ranger,9,USER-REQ,Toxin rebels dominate most infantry engagements
Toxin_GLAInfantryRebel,Rebel (Toxin),ChinaInfantryRedguard,Redguard,9,USER-REQ,Toxin kills infantry rapidly
Chem_GLAInfantryRebel,Rebel (Chem),ChinaInfantryRedguard,Redguard,9,USER-REQ,Toxin kills infantry rapidly
Toxin_GLAInfantryRebel,Rebel (Toxin),GLAInfantryRebel,Rebel,9,USER-REQ,Toxin variant dominates base rebel
Chem_GLAInfantryRebel,Rebel (Chem),GLAInfantryRebel,Rebel,9,USER-REQ,Toxin variant dominates base rebel
Toxin_GLAInfantryRebel,Rebel (Toxin),AmericaInfantryMissileDefender,Missile Defender,8,USER-REQ,Toxin effective vs non-sniper infantry
Chem_GLAInfantryRebel,Rebel (Chem),AmericaInfantryMissileDefender,Missile Defender,8,USER-REQ,Toxin effective vs non-sniper infantry
Toxin_GLAInfantryRebel,Rebel (Toxin),ChinaInfantryTankHunter,Tank Hunter,8,USER-REQ,Toxin effective vs non-sniper infantry
Chem_GLAInfantryRebel,Rebel (Chem),ChinaInfantryTankHunter,Tank Hunter,8,USER-REQ,Toxin effective vs non-sniper infantry
Toxin_GLAInfantryRebel,Rebel (Toxin),GLAInfantryTunnelDefender,Tunnel Defender,8,USER-REQ,Toxin effective vs non-sniper infantry
Chem_GLAInfantryRebel,Rebel (Chem),GLAInfantryTunnelDefender,Tunnel Defender,8,USER-REQ,Toxin effective vs non-sniper infantry
Toxin_GLAInfantryRebel,Rebel (Toxin),AmericaInfantryPathfinder,Pathfinder,2,USER-REQ,Pathfinder hard-counters toxin rebels with one-shot
Chem_GLAInfantryRebel,Rebel (Chem),AmericaInfantryPathfinder,Pathfinder,2,USER-REQ,Pathfinder hard-counters toxin rebels
Toxin_GLAInfantryRebel,Rebel (Toxin),GLAInfantryJarmenKell,Jarmen Kell,2,USER-REQ,Jarmen one-shots toxin rebels
Chem_GLAInfantryRebel,Rebel (Chem),GLAInfantryJarmenKell,Jarmen Kell,2,USER-REQ,Jarmen one-shots toxin rebels
Toxin_GLAInfantryRebel,Rebel (Toxin),AmericaVehicleHumvee,Humvee,6,USER-REQ,Toxin variant performs significantly better vs vehicles
Chem_GLAInfantryRebel,Rebel (Chem),AmericaVehicleHumvee,Humvee,6,USER-REQ,Toxin variant performs significantly better vs vehicles
Toxin_GLAInfantryRebel,Rebel (Toxin),ChinaTankBattleMaster,Battlemaster Tank,5,USER-REQ,Toxin does better vs vehicles than base rebel but still infantry vs tank
Chem_GLAInfantryRebel,Rebel (Chem),ChinaTankBattleMaster,Battlemaster Tank,5,USER-REQ,Same
Toxin_GLAInfantryRebel,Rebel (Toxin),GLATankScorpion,Scorpion Tank,5,USER-REQ,Toxin does better vs vehicles than base rebel
Chem_GLAInfantryRebel,Rebel (Chem),GLATankScorpion,Scorpion Tank,5,USER-REQ,Same

# --- Hijacker (no weapon; hijack ability DISABLED for this context) ---
# Without hijack, the Hijacker has literally no way to deal damage to anything.
GLAInfantryHijacker,Hijacker,AmericaTankCrusader,Crusader Tank,0,INI-DPS,No weapon and no hijack; completely unable to damage vehicles
GLAInfantryHijacker,Hijacker,ChinaTankBattleMaster,Battlemaster Tank,0,INI-DPS,Same; no damage capability
GLAInfantryHijacker,Hijacker,AmericaTankPaladin,Paladin Tank,0,INI-DPS,Same
GLAInfantryHijacker,Hijacker,GLATankMarauder,Marauder Tank,0,INI-DPS,Same
GLAInfantryHijacker,Hijacker,ChinaTankOverlord,Overlord Tank,0,INI-DPS,Same
GLAInfantryHijacker,Hijacker,AmericaVehicleHumvee,Humvee,0,INI-DPS,Same
GLAInfantryHijacker,Hijacker,GLAVehicleTechnical,Technical,0,INI-DPS,Same
GLAInfantryHijacker,Hijacker,AmericaInfantryRanger,Ranger,0,INI-DPS,Hijacker has no weapon; cannot damage infantry
GLAInfantryHijacker,Hijacker,ChinaInfantryRedguard,Redguard,0,INI-DPS,Same
GLAInfantryHijacker,Hijacker,GLAInfantryRebel,Rebel,0,INI-DPS,Same

# --- Humvee with TOW Missile context ---
AmericaVehicleHumvee,Humvee,AmericaTankCrusader,Crusader Tank,2,INI-cost,COMANCHE_VULCAN 25% vs TankArmor = 10DPS; even 2 Humvees ($1400) barely match Crusader ($900) DPS
AmericaVehicleHumvee,Humvee,ChinaTankOverlord,Overlord Tank,1,INI-cost,3 Humvees ($2100) do 30DPS at 25% vs 1100HP = 37s; Overlord crushes all three rapidly
AmericaVehicleHumvee,Humvee,GLAInfantryRebel,Rebel,7,INI-cost,Machine gun 40DPS kills individual Rebels fast; but cost-matched Rebels (4-5 at $150 vs $700) swarm

# --- Rocket Buggy DPS specifics (EXPLOSION: 20dmg/200ms = 100DPS) ---
GLAVehicleRocketBuggy,Rocket Buggy,AmericaInfantryRanger,Ranger,7,INI-cost,EXPLOSION 100% splash vs cost-matched Rangers (4 at $225 vs $900); splash kills multiple per volley
GLAVehicleRocketBuggy,Rocket Buggy,AmericaTankCrusader,Crusader Tank,3,INI-cost,EXPLOSION 100% = 100DPS vs 480HP = 4.8s; but Buggy 120HP dies to one AP shell even before firing
GLAVehicleRocketBuggy,Rocket Buggy,ChinaTankOverlord,Overlord Tank,1,INI-cost,Even 2 Buggies ($1800) do 200DPS but Overlord 267DPS kills each in <0.5s

# --- Nuke Cannon (EXPLOSION: 400dmg/10s = 40DPS, splash, max range) ---
ChinaVehicleNukeLauncher,Nuke Launcher,AmericaInfantryRanger,Ranger,9,INI-DPS,400dmg EXPLOSION one-shots infantry groups with massive splash
ChinaVehicleNukeLauncher,Nuke Launcher,AmericaTankCrusader,Crusader Tank,7,INI-DPS,400dmg per shot vs 480HP = nearly one-shot; but very slow fire rate
ChinaVehicleNukeLauncher,Nuke Launcher,ChinaTankOverlord,Overlord Tank,3,INI-DPS,400dmg vs 1100HP; Overlord can close distance and crush
ChinaVehicleNukeLauncher,Nuke Launcher,GLAVehicleRocketBuggy,Rocket Buggy,8,INI-DPS,400dmg vs 120HP = guaranteed one-shot with splash

# --- SCUD Launcher specifics ---
GLAVehicleScudLauncher,Scud Launcher,AmericaInfantryRanger,Ranger,8,INI-DPS,300dmg EXPLOSION one-shots infantry with splash
GLAVehicleScudLauncher,Scud Launcher,AmericaTankCrusader,Crusader Tank,5,INI-DPS,300dmg vs 480HP; almost one-shot but slow reload
GLAVehicleScudLauncher,Scud Launcher,ChinaTankOverlord,Overlord Tank,3,INI-DPS,300dmg vs 1100HP; Overlord closes and crushes

# --- Inferno Cannon specifics (EXPLOSION: 30dmg/4s = 7.5DPS, splash, range 300) ---
ChinaVehicleInfernoCannon,Inferno Cannon,AmericaInfantryRanger,Ranger,7,INI-DPS,Splash fire kills infantry groups; but slow fire rate gives time to close
ChinaVehicleInfernoCannon,Inferno Cannon,AmericaTankCrusader,Crusader Tank,3,INI-DPS,7.5DPS vs 480HP = 64s; tank closes and crushes Inferno (120HP)
ChinaVehicleInfernoCannon,Inferno Cannon,ChinaTankOverlord,Overlord Tank,1,INI-DPS,7.5DPS vs 1100HP; completely futile

# --- Black Lotus (no combat weapon; hacks/captures) ---
ChinaInfantryBlackLotus,Black Lotus,AmericaInfantryRanger,Ranger,0,INI-DPS,No combat weapon; defenseless vs infantry
ChinaInfantryBlackLotus,Black Lotus,AmericaTankCrusader,Crusader Tank,3,INI-DPS,Can disable vehicles but no direct damage; stealth capture potential
ChinaInfantryBlackLotus,Black Lotus,ChinaTankOverlord,Overlord Tank,2,INI-DPS,Can disable but Overlord's bulk makes capture risky
